Timestamp,Is Buy,Value
2021-02-06 21:23:35.301223,True,0.3
2021-02-06 21:23:35.301636,False,1
2021-02-06 21:23:35.301877,True,0.3
2021-02-06 21:23:35.302084,False,1
2021-02-06 21:23:35.302282,True,0.3
2021-02-06 21:23:35.302490,False,1
2021-02-06 21:23:35.302686,True,0.3
2021-02-06 21:23:35.302926,False,1
2021-02-06 21:23:35.303143,True,0.3
2021-02-06 21:23:35.303408,False,1
2021-02-06 21:23:35.303641,True,0.3
2021-02-06 21:23:35.303868,False,1
2021-02-06 21:23:35.304169,True,0.3
2021-02-06 21:23:35.304380,False,1
2021-02-06 21:23:35.304636,True,0.3
2021-02-06 21:23:35.304870,False,1
2021-02-06 21:23:35.305097,True,0.3
2021-02-06 21:23:35.305289,False,1
2021-02-06 21:23:35.305498,True,0.3
2021-02-06 21:23:35.305738,False,1
2021-02-06 21:23:35.305963,True,0.3
2021-02-06 21:23:35.306168,False,1
2021-02-06 21:23:35.306355,True,0.3
2021-02-06 21:23:35.306552,False,1
2021-02-06 21:23:35.306750,True,0.3
2021-02-06 21:23:35.307025,False,1
2021-02-06 21:23:35.307282,True,0.3
2021-02-06 21:23:35.307511,False,1
2021-02-06 21:23:35.307730,True,0.3
2021-02-06 21:23:35.307960,False,1
2021-02-06 21:23:35.308184,True,0.3
2021-02-06 21:23:35.308427,False,1
2021-02-06 21:23:35.308668,True,0.3
2021-02-06 21:23:35.308927,False,1
2021-02-06 21:23:35.309179,True,0.3
2021-02-06 21:23:35.309440,False,1
2021-02-06 21:23:35.309693,True,0.3
2021-02-06 21:23:35.309954,False,1
2021-02-06 21:23:35.310205,True,0.3
2021-02-06 21:23:35.310454,False,1
2021-02-06 21:23:35.310680,True,0.3
2021-02-06 21:23:35.310913,False,1
2021-02-06 21:23:35.311140,True,0.3
2021-02-06 21:23:35.311374,False,1
2021-02-06 21:23:35.311603,True,0.3
2021-02-06 21:23:35.311839,False,1
2021-02-06 21:23:35.312053,True,0.3
2021-02-06 21:23:35.312267,False,1
2021-02-06 21:23:35.312480,True,0.3
2021-02-06 21:23:35.312697,False,1
2021-02-06 21:23:35.312954,True,0.3
2021-02-06 21:23:35.313219,False,1
2021-02-06 21:23:35.313474,True,0.3
2021-02-06 21:23:35.313739,False,1
2021-02-06 21:23:35.313983,True,0.3
2021-02-06 21:23:35.314222,False,1
2021-02-06 21:23:35.314460,True,0.3
2021-02-06 21:23:35.314701,False,1
2021-02-06 21:23:35.314989,True,0.3
2021-02-06 21:23:35.315242,False,1
2021-02-06 21:23:35.315478,True,0.3
2021-02-06 21:23:35.315720,False,1
2021-02-06 21:23:35.315952,True,0.3
2021-02-06 21:23:35.316193,False,1
2021-02-06 21:23:35.316430,True,0.3
2021-02-06 21:23:35.316670,False,1
2021-02-06 21:23:35.316897,True,0.3
2021-02-06 21:23:35.317131,False,1
2021-02-06 21:23:35.317356,True,0.3
2021-02-06 21:23:35.317588,False,1
2021-02-06 21:23:35.317816,True,0.3
2021-02-06 21:23:35.318049,False,1
2021-02-06 21:23:35.318276,True,0.3
2021-02-06 21:23:35.318509,False,1
2021-02-06 21:23:35.318736,True,0.3
2021-02-06 21:23:35.318968,False,1
2021-02-06 21:23:35.319194,True,0.3
2021-02-06 21:23:35.319427,False,1
2021-02-06 21:23:35.319654,True,0.3
2021-02-06 21:23:35.319889,False,1
2021-02-06 21:23:35.320116,True,0.3
2021-02-06 21:23:35.320349,False,1
2021-02-06 21:23:35.320595,True,0.3
2021-02-06 21:23:35.320833,False,1
2021-02-06 21:23:35.321062,True,0.3
2021-02-06 21:23:35.321299,False,1
